survey_date,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,survey.notes
7/3/2023,NA,CP3_7_11,CP3_7,CP3,7,11,0.7,0.7,NA
7/3/2023,NA,CP3_7_12,CP3_7,CP3,7,12,0.8,1.3,NA
7/3/2023,NA,CP3_7_13,CP3_7,CP3,7,13,0.7,0.9,NA
7/3/2023,NA,LV1_1_1,LV1_1,LV1,1,1,1,1.4,NA
7/3/2023,NA,LV1_1_2,LV1_1,LV1,1,2,1.1,1.8,NA
7/3/2023,NA,LV1_1_3,LV1_1,LV1,1,3,0.8,1.1,NA
7/3/2023,NA,LV1_1_4,LV1_1,LV1,1,4,0.6,1.1,NA
7/3/2023,NA,LV1_1_5,LV1_1,LV1,1,5,1.2,1.5,NA
7/3/2023,NA,LV1_1_6,LV1_1,LV1,1,6,1.1,1.2,NA
7/3/2023,NA,LV1_1_7,LV1_1,LV1,1,7,0.6,0.8,NA
7/3/2023,NA,LV1_1_8,LV1_1,LV1,1,8,0.6,1.1,NA
7/3/2023,NA,LV1_1_9,LV1_1,LV1,1,9,0.7,1.2,NA
7/3/2023,NA,LV1_1_10,LV1_1,LV1,1,10,0.9,1,NA
7/3/2023,NA,LV1_1_11,LV1_1,LV1,1,11,0.8,1.1,NA
7/3/2023,NA,LV1_1_12,LV1_1,LV1,1,12,0.9,1,NA
7/3/2023,NA,LV1_1_13,LV1_1,LV1,1,13,0.5,1,NA
7/3/2023,NA,LV1_2_1,LV1_2,LV1,2,1,0.9,1.1,NA
7/3/2023,NA,LV1_2_2,LV1_2,LV1,2,2,0.7,1,NA
7/3/2023,NA,LV1_2_3,LV1_2,LV1,2,3,1,1.1,NA
7/3/2023,NA,LV1_2_4,LV1_2,LV1,2,4,0.8,0.7,NA
7/3/2023,NA,LV1_2_5,LV1_2,LV1,2,5,0.8,1.1,NA
7/3/2023,NA,LV1_2_6,LV1_2,LV1,2,6,0.9,1.1,NA
7/3/2023,NA,LV1_2_7,LV1_2,LV1,2,7,0.8,1,NA
7/3/2023,NA,LV1_2_8,LV1_2,LV1,2,8,0.8,1.2,NA
7/3/2023,NA,LV1_2_9,LV1_2,LV1,2,9,0.6,0.9,NA
7/3/2023,NA,LV1_2_10,LV1_2,LV1,2,10,0.6,0.7,NA
7/3/2023,NA,LV1_2_11,LV1_2,LV1,2,11,0.5,1.1,NA
7/3/2023,NA,LV1_2_12,LV1_2,LV1,2,12,0.6,1,NA
7/3/2023,NA,LV1_2_13,LV1_2,LV1,2,13,0.5,0.8,NA
7/3/2023,NA,LV1_3_1,LV1_3,LV1,3,1,1.2,1.5,NA
7/3/2023,NA,LV1_3_2,LV1_3,LV1,3,2,0.9,1.2,NA
7/3/2023,NA,LV1_3_3,LV1_3,LV1,3,3,0.8,0.9,NA
7/3/2023,NA,LV1_3_4,LV1_3,LV1,3,4,1,1.3,NA
7/3/2023,NA,LV1_3_5,LV1_3,LV1,3,5,1.1,1.4,NA
7/3/2023,NA,LV1_3_6,LV1_3,LV1,3,6,0.9,1.3,NA
7/3/2023,NA,LV1_3_7,LV1_3,LV1,3,7,0.9,1.2,NA
7/3/2023,NA,LV1_3_8,LV1_3,LV1,3,8,0.8,1.3,NA
7/3/2023,NA,LV1_3_9,LV1_3,LV1,3,9,0.5,1.1,NA
7/3/2023,NA,LV1_3_10,LV1_3,LV1,3,10,0.5,1.1,NA
7/3/2023,NA,LV1_3_11,LV1_3,LV1,3,11,1,1.2,NA
7/3/2023,NA,LV1_3_12,LV1_3,LV1,3,12,0.6,0.8,NA
7/3/2023,NA,LV1_3_13,LV1_3,LV1,3,13,0.8,0.8,NA
7/3/2023,NA,LV1_4_1,LV1_4,LV1,4,1,1,1,NA
7/3/2023,NA,LV1_4_2,LV1_4,LV1,4,2,0.9,0.8,NA
7/3/2023,NA,LV1_4_3,LV1_4,LV1,4,3,0.7,0.7,NA
7/3/2023,NA,LV1_4_4,LV1_4,LV1,4,4,0.8,0.7,NA
7/3/2023,NA,LV1_4_5,LV1_4,LV1,4,5,0.7,0.9,NA
7/3/2023,NA,LV1_4_6,LV1_4,LV1,4,6,0.7,0.7,NA
7/3/2023,NA,LV1_4_7,LV1_4,LV1,4,7,0.8,0.9,NA
7/3/2023,NA,LV1_4_8,LV1_4,LV1,4,8,0.5,1,NA
7/3/2023,NA,LV1_4_9,LV1_4,LV1,4,9,0.6,1,NA
7/3/2023,NA,LV1_4_10,LV1_4,LV1,4,10,0.6,0.8,NA
7/3/2023,NA,LV1_4_11,LV1_4,LV1,4,11,1,0.7,NA
7/3/2023,NA,LV1_4_12,LV1_4,LV1,4,12,0.5,0.5,NA
7/3/2023,NA,LV1_4_13,LV1_4,LV1,4,13,0.5,0.5,NA
7/3/2023,NA,LV1_5_1,LV1_5,LV1,5,1,0.5,0.7,NA
7/3/2023,NA,LV1_5_2,LV1_5,LV1,5,2,1.2,1.2,NA
7/3/2023,NA,LV1_5_3,LV1_5,LV1,5,3,1,1.5,NA
7/3/2023,NA,LV1_5_4,LV1_5,LV1,5,4,1,1.1,NA
7/3/2023,NA,LV1_5_5,LV1_5,LV1,5,5,1.5,1,NA
7/3/2023,NA,LV1_5_6,LV1_5,LV1,5,6,0.9,1.1,NA
7/3/2023,NA,LV1_5_7,LV1_5,LV1,5,7,0.8,0.7,NA
7/3/2023,NA,LV1_5_8,LV1_5,LV1,5,8,0.8,0.9,NA
7/3/2023,NA,LV1_5_9,LV1_5,LV1,5,9,1,0.9,NA
7/3/2023,NA,LV1_5_10,LV1_5,LV1,5,10,0.9,0.7,NA
7/3/2023,NA,LV1_5_11,LV1_5,LV1,5,11,0.7,0.6,NA
7/3/2023,NA,LV1_5_12,LV1_5,LV1,5,12,1,1,NA
7/3/2023,NA,LV1_5_13,LV1_5,LV1,5,13,0.5,0.7,NA
7/3/2023,NA,LV1_6_1,LV1_6,LV1,6,1,1.3,1.2,NA
7/3/2023,NA,LV1_6_2,LV1_6,LV1,6,2,1.5,1.4,NA
7/3/2023,NA,LV1_6_3,LV1_6,LV1,6,3,1,1.2,NA
7/3/2023,NA,LV1_6_4,LV1_6,LV1,6,4,1.3,1.2,NA
7/3/2023,NA,LV1_6_5,LV1_6,LV1,6,5,1.1,0.8,NA
7/3/2023,NA,LV1_6_6,LV1_6,LV1,6,6,1.2,1.3,NA
7/3/2023,NA,LV1_6_7,LV1_6,LV1,6,7,1,0.8,NA
7/3/2023,NA,LV1_6_8,LV1_6,LV1,6,8,0.5,0.9,NA
7/3/2023,NA,LV1_6_9,LV1_6,LV1,6,9,1,1.2,NA
7/3/2023,NA,LV1_6_10,LV1_6,LV1,6,10,1.1,1,NA
7/3/2023,NA,LV1_6_11,LV1_6,LV1,6,11,0.6,0.7,NA
7/3/2023,NA,LV1_6_12,LV1_6,LV1,6,12,0.7,1,NA
7/3/2023,NA,LV1_6_13,LV1_6,LV1,6,13,0.9,1,NA
7/3/2023,NA,LV1_8_1,LV1_8,LV1,8,1,1.1,1.5,NA
7/3/2023,NA,LV1_8_2,LV1_8,LV1,8,2,1.2,1.1,NA
7/3/2023,NA,LV1_8_3,LV1_8,LV1,8,3,1.1,1.3,NA
7/3/2023,NA,LV1_8_4,LV1_8,LV1,8,4,1.6,1,NA
7/3/2023,NA,LV1_8_5,LV1_8,LV1,8,5,1.6,1.4,NA
7/3/2023,NA,LV1_8_6,LV1_8,LV1,8,6,1.2,1.1,NA
7/3/2023,NA,LV1_8_7,LV1_8,LV1,8,7,1,1.1,NA
7/3/2023,NA,LV1_8_8,LV1_8,LV1,8,8,1.3,0.7,NA
7/3/2023,NA,LV1_8_9,LV1_8,LV1,8,9,1.1,1,NA
7/3/2023,NA,LV1_8_10,LV1_8,LV1,8,10,1.2,1.1,NA
7/3/2023,NA,LV1_8_11,LV1_8,LV1,8,11,0.9,1.2,NA
7/3/2023,NA,LV1_8_12,LV1_8,LV1,8,12,0.7,1.1,NA
7/3/2023,NA,LV1_8_13,LV1_8,LV1,8,13,0.5,0.8,NA
7/3/2023,NA,LV3_1_2,LV3_1,LV3,1,2,0.8,0.6,NA
7/3/2023,NA,LV3_2_3,LV3_2,LV3,2,3,1.2,1.1,NA
7/3/2023,NA,LV3_3_4,LV3_3,LV3,3,4,0.4,0.8,NA
7/3/2023,NA,LV3_5_1,LV3_5,LV3,5,1,1.4,0.9,NA
7/3/2023,NA,LV3_5_2,LV3_5,LV3,5,2,1,1.1,NA
7/3/2023,NA,LV3_5_3,LV3_5,LV3,5,3,1.1,1.3,NA
7/3/2023,NA,LV3_5_4,LV3_5,LV3,5,4,0.8,0.7,NA
7/3/2023,NA,LV3_5_5,LV3_5,LV3,5,5,1.1,0.9,NA
7/3/2023,NA,LV3_5_6,LV3_5,LV3,5,6,1.6,1.4,NA
7/3/2023,NA,LV3_5_7,LV3_5,LV3,5,7,0.8,1,NA
7/3/2023,NA,LV3_5_8,LV3_5,LV3,5,8,0.9,1.4,NA
7/3/2023,NA,LV3_5_9,LV3_5,LV3,5,9,0.9,1.2,NA
7/3/2023,NA,LV3_5_10,LV3_5,LV3,5,10,1,1.1,NA
7/3/2023,NA,LV3_5_11,LV3_5,LV3,5,11,0.8,1.1,NA
7/3/2023,NA,LV3_5_12,LV3_5,LV3,5,12,0.7,1.3,NA
7/3/2023,NA,LV3_5_13,LV3_5,LV3,5,13,0.6,1.1,NA
7/3/2023,NA,LV3_6_9,LV3_6,LV3,6,9,0.9,1.1,NA
7/3/2023,NA,LV3_7_2,LV3_7,LV3,7,2,0.7,0.7,NA
7/3/2023,NA,LV3_7_3,LV3_7,LV3,7,3,1.1,0.9,NA
7/3/2023,NA,LV3_7_4,LV3_7,LV3,7,4,1,0.6,NA
7/3/2023,NA,LV3_7_5,LV3_7,LV3,7,5,0.8,0.8,NA
7/3/2023,NA,LV3_7_6,LV3_7,LV3,7,6,0.9,1.1,NA
7/3/2023,NA,LV3_7_7,LV3_7,LV3,7,7,0.6,0.9,NA
7/3/2023,NA,LV3_7_8,LV3_7,LV3,7,8,0.9,0.6,NA
7/3/2023,NA,LV3_7_9,LV3_7,LV3,7,9,0.9,0.9,NA
7/3/2023,NA,LV3_7_10,LV3_7,LV3,7,10,0.8,0.5,NA
7/3/2023,NA,LV3_7_13,LV3_7,LV3,7,13,1.2,0.7,NA
7/3/2023,NA,LVTR1_2_1,LVTR1_2,LVTR1,2,1,2.1,1.4,NA
7/3/2023,NA,LVTR1_2_2,LVTR1_2,LVTR1,2,2,1.6,1.2,NA
7/3/2023,NA,LVTR1_2_3,LVTR1_2,LVTR1,2,3,1.3,1.5,NA
7/3/2023,NA,LVTR1_2_4,LVTR1_2,LVTR1,2,4,0.7,1.2,NA
7/3/2023,NA,LVTR1_2_5,LVTR1_2,LVTR1,2,5,1.2,1.3,NA
7/3/2023,NA,LVTR1_2_6,LVTR1_2,LVTR1,2,6,NA,NA,plant gone
7/3/2023,NA,LVTR1_2_7,LVTR1_2,LVTR1,2,7,1,2.2,NA
7/3/2023,NA,LVTR1_2_8,LVTR1_2,LVTR1,2,8,1.1,1.8,NA
7/3/2023,NA,LVTR1_2_9,LVTR1_2,LVTR1,2,9,0.6,0.6,NA
7/3/2023,NA,LVTR1_2_10,LVTR1_2,LVTR1,2,10,1,1.4,NA
7/3/2023,NA,LVTR1_2_11,LVTR1_2,LVTR1,2,11,0.8,1.5,NA
7/3/2023,NA,LVTR1_2_12,LVTR1_2,LVTR1,2,12,0.7,0.8,NA
7/3/2023,NA,LVTR1_2_13,LVTR1_2,LVTR1,2,13,0.9,1,NA
7/3/2023,NA,LVTR1_3_1,LVTR1_3,LVTR1,3,1,1.3,1.3,NA
7/3/2023,NA,LVTR1_3_2,LVTR1_3,LVTR1,3,2,1,0.7,NA
7/3/2023,NA,LVTR1_3_4,LVTR1_3,LVTR1,3,4,1.1,1.8,NA
7/3/2023,NA,LVTR1_3_7,LVTR1_3,LVTR1,3,7,1.6,1.4,NA
7/3/2023,NA,LVTR1_3_8,LVTR1_3,LVTR1,3,8,1,0.9,NA
7/3/2023,NA,LVTR1_3_12,LVTR1_3,LVTR1,3,12,1.3,1.4,NA
7/3/2023,NA,LVTR1_4_1,LVTR1_4,LVTR1,4,1,0.6,0.3,too small to collect DNA
7/3/2023,NA,LVTR1_4_2,LVTR1_4,LVTR1,4,2,1.2,1.5,NA
7/3/2023,NA,LVTR1_4_3,LVTR1_4,LVTR1,4,3,1,1,NA
7/3/2023,NA,LVTR1_4_4,LVTR1_4,LVTR1,4,4,1.1,1.3,NA
