block ,bed ,bed-row ,bed-col ,pop ,mf ,rep ,height.cm ,long.leaf.cm ,herbiv.y.n ,survey-notes 
C ,B ,24,A ,CP3 ,4,14,,,,Dead 
C ,B ,24,B ,WL1 ,4,1,2.5,N/A ,Y ,no leaves 
C ,B ,25,A ,IH ,6,5,12.3,6.1,Y ,
C ,B ,25,B ,CP3 ,5,11,,,,
C ,B ,26,A ,YO8 ,8,5,,,,
C ,B ,26,B ,TM2 ,5,9,,,,
C ,B ,27,A ,SQ3 ,1,9,,,,
C ,B ,27,B ,SQ2 ,8,11,,,,
C ,B ,28,A ,CC ,5,5,,,,
C ,B ,28,B ,TM2 ,2,1,,,,
C ,B ,29,A ,CP2 ,7,10,,,,Dead 
C ,B ,29,B ,WL2 ,6,11,1.6,N/A ,Y ,tiny resprout 
C ,B ,30,A ,DPR ,1,10,,,,Dead 
C ,B ,30,B ,SC ,2,5,,,,Dead 
C ,B ,31,A ,FR ,2,9,,,,Dead 
C ,B ,31,B ,SC ,8,5,,,,Dead 
C ,B ,32,A ,IH ,4,5,,,,no plant or tag 
C ,B ,32,B ,SQ3 ,6,5,2.5,N/A ,Y ,no leaves 
C ,B ,33,A ,WL2 ,5,11,2.6,N/A ,Y ,no leaves 
C ,B ,33,B ,BH ,6,5,,,,Dead 
C ,B ,34,A ,CP2 ,5,3,3.2,N/A ,Y ,
C ,B ,34,B ,YO11 ,7,11,,,,Dead 
C ,B ,35,A ,NA ,NA ,NA ,,,,
C ,B ,35,B ,WL1 ,7,7,1.8,N/A ,Y ,no leaves 
C ,B ,36,A ,TM2 ,3,9,,,,Dead 
C ,B ,36,B ,CP2 ,3,3,2.4,N/A ,Y ,no leaves 
C ,B ,37,A ,TM2 ,1,16,32.2,1.8,Y ,
C ,B ,37,B ,YO8 ,6,14,2,N/A ,Y ,no leaves 
C ,B ,38,A ,FR ,4,4,,,,Dead 
C ,B ,38,B ,SQ1 ,14,2,3.5,N/A ,Y ,
C ,B ,39,A ,CC ,8,5,,,,Dead 
C ,B ,39,B ,CP3 ,6,11,,,,Dead 
C ,B ,40,A ,WL2 ,2,11,3.6,0.4,Y ,
C ,B ,40,B ,LV1 ,8,4,,,,Dead 
C ,B ,41,A ,SC ,4,5,5.3,3.2,Y ,
C ,B ,41,B ,CP3 ,2,12,,,,Dead 
C ,B ,42,A ,BH ,2,5,7.3,5.7,Y ,top eaten 
C ,B ,42,B ,LV3 ,5,1,,,,Dead 
C ,B ,43,A ,BH ,5,5,11.9,7.1,Y ,
C ,B ,43,B ,LVTR1 ,2,3,,,,Dead 
C ,B ,44,A ,WL2 ,7,11,5.3,N/A ,Y ,no leaves 
C ,B ,44,B ,LV1 ,2,4,,,,Dead 
C ,B ,45,A ,YO8 ,6,5,,,,Dead 
C ,B ,45,B ,YO11 ,8,17,,,,Dead 
C ,B ,46,A ,WL1 ,4,10,2.2,N/A ,Y ,Via leaves 
C ,B ,46,B ,DPR ,7,6,6,0.5,Y ,resprout 
C ,B ,47,A ,SC ,2,16,6.8,4,Y ,
C ,B ,47,B ,LV1 ,5,4,,,,Dead 
C ,B ,48,A ,YO4 ,2,15,,,,Dead 
C ,B ,48,B ,LV1 ,6,4,,,,Dead 
C ,B ,49,A ,FR ,7,5,2.3,N/A ,Y ,no leaves 
C ,B ,49,B ,WR ,1,2,,,,Dead 
C ,B ,50,A ,SC ,5,5,13,5.6,Y ,
C ,B ,50,B ,CC ,1,5,12.5,3.6,Y ,
C ,B ,51,A ,YO11 ,8,11,,,,Dead 
C ,B ,51,B ,CC ,2,5,,,,Dead 
C ,B ,52,A ,DPR ,8,1,10.1,3,Y ,
C ,B ,52,B ,YO11 ,1,11,,,,Dead 
C ,B ,53,A ,WL1* ,buffer ,buffer ,,,,
C ,B ,53,B ,WL1* ,buffer ,buffer ,,,,
C ,B ,54,A ,NA ,NA ,NA ,,,,
C ,B ,54,B ,NA ,NA ,NA ,,,,
B ,B ,55,A ,WL1* ,buffer ,buffer ,,,,
B ,B ,55,B ,NA ,NA ,NA ,,,,
B ,B ,56,A ,SC ,6,15,8.2,5.1,Y ,
B ,B ,56,B ,WL1* ,buffer ,buffer ,,,,
B ,B ,57,A ,IH ,4,4,16.3,7.2,Y ,
B ,B ,57,B ,DPR ,8,13,,,,Dead 
B ,B ,58,A ,YO8 ,8,4,,,,Dead 
B ,B ,58,B ,DPR ,6,3,,,,Dead 
B ,B ,59,A ,YO8 ,3,13,,,,Dead 
B ,B ,59,B ,DPR ,3,9,,,,Dead 
B ,B ,60,A ,WL1* ,buffer ,buffer ,,,,
B ,B ,60,B ,WL1* ,buffer ,buffer ,,,,
D ,B ,1,C ,NA ,NA ,NA ,,,,
D ,B ,1,D ,NA ,NA ,NA ,,,,
D ,B ,2,C ,NA ,NA ,NA ,,,,
D ,B ,2,D ,NA ,NA ,NA ,,,,
D ,B ,3,C ,NA ,NA ,NA ,,,,
D ,B ,3,D ,NA ,NA ,NA ,,,,
D ,B ,4,C ,TM2 ,7,16,,,,
D ,B ,4,D ,SQ3 ,3,6,,,,
D ,B ,5,C ,BH ,2,6,,,,
D ,B ,5,D ,LV3 ,2,3,,,,
D ,B ,6,C ,BH ,1,6,,,,
D ,B ,6,D ,WL1 ,2,3,,,,
D ,B ,7,C ,CP2 ,2,4,,,,
D ,B ,7,D ,BH ,4,6,,,,
D ,B ,8,C ,YO8 ,1,2,,,,
D ,B ,8,D ,DPR ,8,2,,,,
D ,B ,9,C ,FR ,4,5,,,,
D ,B ,9,D ,IH ,5,6,,,,
D ,B ,10,C ,CP2 ,3,4,,,,
D ,B ,10,D ,FR ,1,2,,,,
D ,B ,11,C ,SQ1 ,3,1,,,,
D ,B ,11,D ,YO8 ,2,14,,,,
D ,B ,12,C ,WL2 ,3,12,,,,
D ,B ,12,D ,TM2 ,5,1,,,,
D ,B ,13,C ,LV1 ,4,5,,,,
D ,B ,13,D ,LVTR1 ,5,8,,,,
D ,B ,14,C ,SQ2 ,4,10,,,,
D ,B ,14,D ,CP3 ,2,10,,,,
D ,B ,15,C ,LV1 ,6,5,,,,
D ,B ,15,D ,SQ2 ,6,12,,,,
D ,B ,16,C ,CP2 ,1,14,,,,
D ,B ,16,D ,YO8 ,5,6,,,,
D ,B ,17,C ,SQ3 ,5,1,,,,
D ,B ,17,D ,YO7 ,1,1,,,,
D ,B ,18,C ,CC ,5,6,,,,
D ,B ,18,D ,CP3 ,4,12,,,,
D ,B ,19,C ,YO4 ,2,7,,,,
D ,B ,19,D ,CC ,2,6,10.3,3.7,Y ,
D ,B ,20,C ,IH ,7,6,8.3,4.6,Y ,
D ,B ,20,D ,BH ,6,6,5.2,3.7,Y ,stem broken 
D ,B ,21,C ,CC ,8,6,,,,
D ,B ,21,D ,CP2 ,1,4,0.9,,Y ,bare stem 
C ,B ,22,C ,WL1* ,buffer ,buffer ,,,,
C ,B ,22,D ,WL1* ,buffer ,buffer ,,,,
C ,B ,23,C ,CP2 ,4,3,,,,
C ,B ,23,D ,WL1* ,buffer ,buffer ,,,,
C ,B ,24,C ,YO8 ,2,1,,,,
C ,B ,24,D ,LV1 ,1,4,,,,
